thr,trades,wr,pnl,dd,n_oos_pre_friend,G1,G2,G3,G4,all_pass,binding_gates,passing
0.4,471.0,0.4309978768577495,-2440.0,-3648.75,1455.0,False,False,True,False,False,"['G1 DD>870.0', 'G2 PnL<-2280 or trades>507', 'G4 WR<0.55']",1
0.45,481.0,0.4365904365904366,-2151.25,-3360.0,1468.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.5,487.0,0.4353182751540041,-2241.25,-3567.5,1475.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.55,488.0,0.4364754098360656,-2233.75,-3560.0,1476.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.6,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.65,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.7,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.75,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.8,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.85,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
